ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
342,Student_342,5.3,84,99.9,A,Pass,85.67
300,Student_300,1.8,53,99.8,A,Pass,75.96
115,Student_115,6.7,99,99.8,A,Pass,90.25
103,Student_103,3.8,79,99.7,A,Pass,83.9
631,Student_631,7.4,59,99.7,A,Pass,78.26
702,Student_702,1.5,57,99.6,A,Pass,77.01
848,Student_848,10.0,62,99.6,A,Pass,79.36
4,Student_4,6.4,73,99.6,A,Pass,82.3
52,Student_52,8.0,88,99.5,A,Pass,86.9
277,Student_277,8.2,90,99.5,A,Pass,87.52
26,Student_26,8.1,59,99.5,A,Pass,78.21
796,Student_796,8.8,75,99.3,A,Pass,82.96
252,Student_252,4.5,94,99.1,A,Pass,88.11
466,Student_466,4.4,82,99.1,A,Pass,84.5
512,Student_512,4.8,63,99.0,A,Pass,78.78
820,Student_820,4.0,97,99.0,A,Pass,88.9
106,Student_106,3.2,69,99.0,A,Pass,80.42
497,Student_497,6.3,99,99.0,A,Pass,89.73
415,Student_415,6.7,97,98.9,A,Pass,89.11
873,Student_873,6.8,79,98.9,A,Pass,83.72
886,Student_886,2.6,85,98.8,A,Pass,85.04
553,Student_553,6.0,73,98.7,A,Pass,81.72
964,Student_964,4.5,95,98.7,A,Pass,88.17
142,Student_142,3.3,53,98.6,A,Pass,75.39
588,Student_588,2.2,57,98.6,A,Pass,76.48
69,Student_69,1.7,64,98.5,A,Pass,78.47
215,Student_215,7.4,54,98.1,A,Pass,75.8
203,Student_203,2.5,64,98.1,A,Pass,78.31
510,Student_510,7.5,90,98.0,A,Pass,86.55
839,Student_839,6.2,96,98.0,A,Pass,88.22
88,Student_88,6.7,62,97.9,A,Pass,78.01
479,Student_479,9.7,91,97.9,A,Pass,87.01
601,Student_601,2.5,94,97.8,A,Pass,87.13
859,Student_859,6.1,77,97.8,A,Pass,82.39
803,Student_803,6.2,51,97.8,A,Pass,74.6
408,Student_408,1.1,56,97.8,A,Pass,75.59
86,Student_86,3.9,79,97.8,A,Pass,82.77
822,Student_822,1.0,64,97.7,A,Pass,77.92
144,Student_144,3.7,69,97.6,A,Pass,79.63
11,Student_11,1.2,86,97.5,A,Pass,84.42
294,Student_294,4.2,77,97.5,A,Pass,82.02
188,Student_188,6.0,78,97.4,A,Pass,82.44
891,Student_891,7.5,93,97.4,A,Pass,87.09
915,Student_915,6.0,99,97.4,A,Pass,88.74
815,Student_815,8.8,75,97.4,A,Pass,81.82
384,Student_384,8.9,65,97.4,A,Pass,78.83
943,Student_943,6.9,56,97.3,A,Pass,75.87
161,Student_161,4.3,98,97.3,A,Pass,88.21
713,Student_713,5.2,96,97.3,A,Pass,87.7
662,Student_662,9.9,63,97.0,A,Pass,78.09
941,Student_941,3.5,84,96.9,A,Pass,83.69
441,Student_441,1.8,71,96.7,A,Pass,79.5
232,Student_232,5.5,55,96.6,A,Pass,75.01
870,Student_870,9.5,53,96.6,A,Pass,74.81
732,Student_732,8.3,95,96.5,A,Pass,87.23
363,Student_363,5.1,70,96.4,A,Pass,79.35
573,Student_573,4.6,55,96.3,A,Pass,74.74
410,Student_410,1.8,93,96.2,A,Pass,85.8
43,Student_43,1.3,72,96.2,A,Pass,79.45
253,Student_253,8.7,100,96.2,A,Pass,88.59
343,Student_343,2.6,62,96.0,A,Pass,76.46
692,Student_692,4.8,99,95.9,A,Pass,87.72
55,Student_55,6.4,80,95.8,A,Pass,82.12
957,Student_957,5.7,91,95.8,A,Pass,85.35
226,Student_226,3.2,83,95.7,A,Pass,82.64
903,Student_903,2.6,64,95.6,A,Pass,76.82
27,Student_27,2.8,65,95.6,A,Pass,77.14
22,Student_22,2.3,94,95.6,A,Pass,85.79
74,Student_74,8.3,74,95.4,A,Pass,80.27
50,Student_50,2.7,67,95.2,A,Pass,77.49
242,Student_242,9.6,92,95.1,A,Pass,85.62
593,Student_593,2.6,91,95.1,A,Pass,84.62
770,Student_770,8.4,90,95.0,A,Pass,84.84
488,Student_488,3.5,58,94.9,A,Pass,74.69
739,Student_739,5.0,63,94.8,A,Pass,76.28
639,Student_639,3.4,69,94.6,A,Pass,77.8
597,Student_597,7.0,51,94.6,A,Pass,72.76
860,Student_860,1.6,84,94.6,A,Pass,82.12
708,Student_708,8.3,81,94.5,A,Pass,81.83
579,Student_579,5.4,52,94.4,A,Pass,72.78
400,Student_400,7.8,73,94.4,A,Pass,79.32
959,Student_959,2.5,90,94.4,A,Pass,83.89
495,Student_495,5.2,57,94.4,A,Pass,74.26
390,Student_390,8.3,78,94.4,A,Pass,80.87
620,Student_620,7.7,61,94.2,A,Pass,75.59
169,Student_169,1.4,67,94.1,A,Pass,76.7
744,Student_744,5.5,77,94.1,A,Pass,80.11
405,Student_405,3.9,74,94.0,A,Pass,78.99
813,Student_813,2.1,77,94.0,A,Pass,79.71
173,Student_173,5.6,81,93.7,A,Pass,81.08
501,Student_501,7.3,56,93.6,A,Pass,73.69
650,Student_650,5.5,61,93.6,A,Pass,75.01
897,Student_897,3.6,70,93.6,A,Pass,77.52
160,Student_160,7.6,72,93.5,A,Pass,78.46
782,Student_782,5.9,61,93.4,A,Pass,74.93
969,Student_969,6.1,91,93.3,A,Pass,83.89
817,Student_817,6.3,61,93.3,A,Pass,74.91
236,Student_236,7.5,89,93.2,A,Pass,83.37
304,Student_304,6.7,99,93.2,A,Pass,86.29
123,Student_123,3.9,64,93.2,A,Pass,75.51
899,Student_899,1.1,77,93.0,A,Pass,79.01
507,Student_507,9.2,71,92.9,A,Pass,77.96
516,Student_516,1.2,72,92.9,A,Pass,77.46
462,Student_462,6.8,82,92.8,A,Pass,80.96
849,Student_849,5.5,71,92.8,A,Pass,77.53
59,Student_59,1.4,94,92.7,A,Pass,83.96
461,Student_461,2.1,82,92.7,A,Pass,80.43
642,Student_642,3.9,61,92.7,A,Pass,74.31
869,Student_869,8.8,62,92.6,A,Pass,75.04
299,Student_299,6.6,71,92.6,A,Pass,77.52
699,Student_699,2.4,65,92.5,A,Pass,75.24
741,Student_741,5.2,54,92.4,A,Pass,72.16
606,Student_606,5.1,74,92.4,A,Pass,78.15
269,Student_269,4.2,61,92.4,A,Pass,74.16
366,Student_366,4.5,86,92.4,A,Pass,81.69
574,Student_574,6.6,88,92.3,A,Pass,82.44
463,Student_463,7.7,90,92.2,A,Pass,83.09
863,Student_863,5.7,91,92.2,A,Pass,83.19
60,Student_60,3.9,83,92.1,A,Pass,80.55
885,Student_885,8.2,91,91.9,A,Pass,83.26
585,Student_585,6.7,82,91.9,A,Pass,80.41
875,Student_875,1.2,56,91.8,A,Pass,72.0
240,Student_240,2.6,90,91.7,A,Pass,82.28
73,Student_73,1.0,71,91.7,A,Pass,76.42
432,Student_432,7.9,81,91.6,A,Pass,80.05
595,Student_595,9.1,63,91.5,A,Pass,74.71
769,Student_769,4.1,62,91.5,A,Pass,73.91
527,Student_527,4.7,78,91.5,A,Pass,78.77
494,Student_494,2.7,61,91.4,A,Pass,73.41
561,Student_561,7.3,99,91.3,A,Pass,85.21
894,Student_894,4.6,96,91.2,A,Pass,83.98
621,Student_621,2.7,85,91.1,A,Pass,80.43
53,Student_53,9.5,66,91.1,A,Pass,75.41
442,Student_442,9.9,100,91.0,A,Pass,85.59
241,Student_241,9.5,62,90.8,A,Pass,74.03
896,Student_896,2.8,71,90.8,A,Pass,76.06
930,Student_930,3.3,98,90.8,A,Pass,84.21
149,Student_149,1.5,59,90.7,A,Pass,72.27
759,Student_759,9.0,53,90.7,A,Pass,71.22
551,Student_551,5.7,70,90.5,A,Pass,75.87
29,Student_29,6.3,66,90.5,A,Pass,74.73
246,Student_246,9.4,85,90.5,A,Pass,80.74
167,Student_167,3.9,84,90.5,A,Pass,79.89
367,Student_367,9.7,69,90.5,A,Pass,75.97
261,Student_261,6.5,88,90.4,A,Pass,81.29
998,Student_998,2.2,99,90.4,A,Pass,84.16
350,Student_350,6.6,81,90.4,A,Pass,79.2
563,Student_563,2.2,100,90.2,A,Pass,84.34
831,Student_831,3.0,99,90.0,A,Pass,84.0
635,Student_635,2.0,79,89.9,B,Pass,77.84
359,Student_359,9.5,66,89.9,B,Pass,74.69
641,Student_641,1.2,92,89.8,B,Pass,81.6
604,Student_604,1.8,63,89.8,B,Pass,72.96
537,Student_537,8.6,81,89.7,B,Pass,78.98
919,Student_919,7.9,88,89.7,B,Pass,81.01
888,Student_888,3.1,53,89.7,B,Pass,70.03
128,Student_128,8.7,53,89.7,B,Pass,70.59
35,Student_35,9.7,63,89.6,B,Pass,73.63
541,Student_541,9.6,59,89.6,B,Pass,72.42
325,Student_325,9.6,78,89.5,B,Pass,78.06
712,Student_712,6.4,71,89.4,B,Pass,75.58
978,Student_978,1.5,85,89.4,B,Pass,79.29
71,Student_71,8.0,53,89.3,B,Pass,70.28
768,Student_768,8.9,67,89.3,B,Pass,74.57
714,Student_714,4.7,83,89.3,B,Pass,78.95
533,Student_533,10.0,67,89.3,B,Pass,74.68
476,Student_476,9.9,99,89.3,B,Pass,84.27
528,Student_528,3.5,81,89.1,B,Pass,78.11
258,Student_258,7.3,81,89.1,B,Pass,78.49
239,Student_239,6.8,97,89.0,B,Pass,83.18
57,Student_57,1.8,84,89.0,B,Pass,78.78
116,Student_116,8.8,53,88.8,B,Pass,70.06
222,Student_222,6.1,78,88.7,B,Pass,77.23
940,Student_940,6.2,64,88.5,B,Pass,72.92
61,Student_61,4.5,52,88.4,B,Pass,69.09
450,Student_450,1.8,65,88.4,B,Pass,72.72
323,Student_323,6.9,61,88.3,B,Pass,71.97
599,Student_599,2.7,54,88.3,B,Pass,69.45
912,Student_912,3.4,76,88.3,B,Pass,76.12
979,Student_979,5.5,52,88.2,B,Pass,69.07
369,Student_369,2.8,68,88.2,B,Pass,73.6
508,Student_508,8.4,75,88.2,B,Pass,76.26
956,Student_956,4.4,52,88.2,B,Pass,68.96
688,Student_688,3.5,88,88.2,B,Pass,79.67
143,Student_143,5.5,57,88.1,B,Pass,70.51
280,Student_280,8.2,80,88.0,B,Pass,77.62
216,Student_216,3.1,62,87.9,B,Pass,71.65
486,Student_486,9.1,58,87.9,B,Pass,71.05
767,Student_767,7.9,83,87.9,B,Pass,78.43
867,Student_867,2.4,51,87.7,B,Pass,68.16
312,Student_312,1.7,50,87.7,B,Pass,67.79
628,Student_628,7.7,52,87.7,B,Pass,68.99
948,Student_948,9.1,63,87.7,B,Pass,72.43
21,Student_21,6.5,90,87.7,B,Pass,80.27
483,Student_483,5.1,60,87.6,B,Pass,71.07
492,Student_492,6.6,90,87.6,B,Pass,80.22
865,Student_865,4.6,79,87.4,B,Pass,76.6
62,Student_62,3.4,86,87.4,B,Pass,78.58
576,Student_576,9.5,100,87.3,B,Pass,83.33
332,Student_332,7.8,100,87.3,B,Pass,83.16
765,Student_765,1.3,68,87.3,B,Pass,72.91
453,Student_453,4.8,69,87.2,B,Pass,73.5
162,Student_162,6.7,58,87.2,B,Pass,70.39
330,Student_330,3.2,64,87.1,B,Pass,71.78
347,Student_347,6.7,78,87.1,B,Pass,76.33
159,Student_159,3.1,96,87.1,B,Pass,81.37
287,Student_287,5.2,68,87.0,B,Pass,73.12
36,Student_36,8.3,64,86.9,B,Pass,72.17
100,Student_100,2.0,93,86.8,B,Pass,80.18
248,Student_248,9.7,87,86.6,B,Pass,79.03
395,Student_395,4.1,99,86.6,B,Pass,82.07
193,Student_193,9.1,61,86.5,B,Pass,71.11
983,Student_983,2.0,55,86.5,B,Pass,68.6
478,Student_478,6.0,83,86.5,B,Pass,77.4
211,Student_211,5.9,86,86.5,B,Pass,78.29
648,Student_648,7.1,96,86.4,B,Pass,81.35
467,Student_467,3.6,62,86.3,B,Pass,70.74
130,Student_130,5.6,86,86.2,B,Pass,78.08
205,Student_205,6.5,57,86.2,B,Pass,69.47
927,Student_927,3.4,99,86.1,B,Pass,81.7
575,Student_575,8.8,91,86.0,B,Pass,79.78
199,Student_199,9.0,54,85.9,B,Pass,68.64
378,Student_378,1.2,74,85.9,B,Pass,73.86
77,Student_77,7.9,82,85.9,B,Pass,76.93
880,Student_880,3.0,62,85.7,B,Pass,70.32
830,Student_830,5.1,95,85.7,B,Pass,80.43
271,Student_271,8.3,51,85.7,B,Pass,67.55
290,Student_290,6.3,59,85.7,B,Pass,69.75
136,Student_136,3.9,73,85.6,B,Pass,73.65
393,Student_393,4.3,76,85.6,B,Pass,74.59
18,Student_18,5.7,61,85.4,B,Pass,70.11
810,Student_810,2.0,97,85.4,B,Pass,80.54
458,Student_458,5.2,99,85.4,B,Pass,81.46
33,Student_33,1.6,71,85.3,B,Pass,72.64
244,Student_244,4.3,74,85.3,B,Pass,73.81
926,Student_926,1.2,82,85.2,B,Pass,75.84
598,Student_598,2.6,86,85.2,B,Pass,77.18
382,Student_382,7.3,64,85.1,B,Pass,70.99
728,Student_728,8.2,61,85.1,B,Pass,70.18
990,Student_990,8.4,54,84.9,B,Pass,67.98
547,Student_547,2.0,56,84.9,B,Pass,67.94
221,Student_221,6.9,81,84.9,B,Pass,75.93
292,Student_292,1.3,81,84.7,B,Pass,75.25
664,Student_664,3.1,58,84.6,B,Pass,68.47
618,Student_618,3.5,50,84.6,B,Pass,66.11
924,Student_924,8.2,85,84.4,B,Pass,76.96
592,Student_592,6.8,72,84.4,B,Pass,72.92
189,Student_189,5.8,58,84.3,B,Pass,68.56
922,Student_922,5.4,67,84.3,B,Pass,71.22
154,Student_154,5.4,98,84.2,B,Pass,80.46
179,Student_179,9.4,58,84.2,B,Pass,68.86
341,Student_341,5.4,66,84.1,B,Pass,70.8
283,Student_283,4.4,94,84.0,B,Pass,79.04
129,Student_129,1.1,61,84.0,B,Pass,68.81
262,Student_262,9.9,80,84.0,B,Pass,75.39
525,Student_525,8.5,94,83.9,B,Pass,79.39
414,Student_414,6.2,87,83.8,B,Pass,77.0
757,Student_757,6.6,90,83.8,B,Pass,77.94
377,Student_377,8.6,98,83.8,B,Pass,80.54
7,Student_7,1.5,80,83.8,B,Pass,74.43
247,Student_247,4.9,76,83.7,B,Pass,73.51
374,Student_374,7.1,64,83.7,B,Pass,70.13
276,Student_276,5.5,98,83.6,B,Pass,80.11
257,Student_257,9.4,59,83.6,B,Pass,68.8
602,Student_602,3.5,90,83.6,B,Pass,77.51
742,Student_742,3.7,90,83.4,B,Pass,77.41
433,Student_433,6.6,60,83.4,B,Pass,68.7
907,Student_907,8.4,57,83.4,B,Pass,67.98
861,Student_861,8.0,57,83.3,B,Pass,67.88
303,Student_303,5.9,85,83.3,B,Pass,76.07
522,Student_522,4.4,68,83.2,B,Pass,70.76
184,Student_184,8.9,60,83.0,B,Pass,68.69
977,Student_977,6.4,82,82.8,B,Pass,74.92
709,Student_709,3.3,87,82.8,B,Pass,76.11
540,Student_540,2.2,77,82.7,B,Pass,72.94
530,Student_530,8.8,93,82.6,B,Pass,78.34
37,Student_37,3.7,56,82.5,B,Pass,66.67
331,Student_331,4.2,81,82.5,B,Pass,74.22
435,Student_435,1.8,74,82.5,B,Pass,71.88
996,Student_996,1.8,87,82.4,B,Pass,75.72
949,Student_949,8.9,62,82.4,B,Pass,68.93
776,Student_776,2.3,73,82.3,B,Pass,71.51
655,Student_655,4.9,77,82.2,B,Pass,72.91
608,Student_608,4.3,51,82.2,B,Pass,65.05
701,Student_701,5.8,91,82.1,B,Pass,77.14
491,Student_491,5.1,81,81.8,B,Pass,73.89
308,Student_308,3.9,61,81.7,B,Pass,67.71
105,Student_105,9.2,88,81.7,B,Pass,76.34
67,Student_67,2.3,93,81.7,B,Pass,77.15
908,Student_908,4.1,73,81.6,B,Pass,71.27
566,Student_566,6.3,85,81.6,B,Pass,75.09
760,Student_760,8.1,83,81.5,B,Pass,74.61
112,Student_112,2.5,94,81.5,B,Pass,77.35
164,Student_164,5.8,69,81.3,B,Pass,70.06
798,Student_798,6.1,84,81.3,B,Pass,74.59
777,Student_777,3.1,56,81.3,B,Pass,65.89
268,Student_268,7.3,78,81.3,B,Pass,72.91
721,Student_721,9.4,67,81.2,B,Pass,69.76
558,Student_558,1.3,93,81.2,B,Pass,76.75
975,Student_975,1.3,89,81.0,B,Pass,75.43
181,Student_181,4.1,63,80.8,B,Pass,67.79
734,Student_734,5.7,82,80.7,B,Pass,73.59
792,Student_792,6.3,98,80.6,B,Pass,78.39
918,Student_918,9.5,85,80.6,B,Pass,74.81
322,Student_322,7.4,84,80.6,B,Pass,74.3
556,Student_556,4.6,53,80.6,B,Pass,64.72
762,Student_762,3.8,95,80.4,B,Pass,77.12
580,Student_580,3.3,94,80.2,B,Pass,76.65
640,Student_640,4.4,57,80.2,B,Pass,65.66
3,Student_3,7.6,65,80.2,B,Pass,68.38
733,Student_733,7.0,53,80.1,B,Pass,64.66
443,Student_443,4.4,73,80.1,B,Pass,70.4
513,Student_513,9.4,60,80.1,B,Pass,67.0
