ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
532,Student_532,10.0,55,68.3,D,Pass,58.48
848,Student_848,10.0,62,99.6,A,Pass,79.36
533,Student_533,10.0,67,89.3,B,Pass,74.68
476,Student_476,9.9,99,89.3,B,Pass,84.27
391,Student_391,9.9,57,55.0,F,Pass,51.09
662,Student_662,9.9,63,97.0,A,Pass,78.09
519,Student_519,9.9,74,40.8,F,Pass,47.67
70,Student_70,9.9,98,78.5,C,Pass,77.49
500,Student_500,9.9,96,51.1,F,Pass,60.45
447,Student_447,9.9,95,72.7,C,Pass,73.11
811,Student_811,9.9,51,67.5,D,Pass,56.79
262,Student_262,9.9,80,84.0,B,Pass,75.39
706,Student_706,9.9,57,65.3,D,Pass,57.27
933,Student_933,9.9,83,69.3,D,Pass,67.47
155,Student_155,9.9,52,68.6,D,Pass,57.75
442,Student_442,9.9,100,91.0,A,Pass,85.59
582,Student_582,9.8,89,46.7,F,Pass,55.7
676,Student_676,9.8,100,68.9,D,Pass,72.32
227,Student_227,9.8,89,53.5,F,Pass,59.78
306,Student_306,9.8,76,63.5,D,Pass,61.88
499,Student_499,9.8,69,52.1,F,Pass,52.94
12,Student_12,9.7,65,50.5,F,Pass,50.77
465,Student_465,9.7,79,67.1,D,Pass,64.93
314,Student_314,9.7,75,75.3,C,Pass,68.65
472,Student_472,9.7,87,72.3,C,Pass,70.45
479,Student_479,9.7,91,97.9,A,Pass,87.01
470,Student_470,9.7,88,67.8,D,Pass,68.05
51,Student_51,9.7,91,69.8,D,Pass,70.15
140,Student_140,9.7,74,40.7,F,Pass,47.59
248,Student_248,9.7,87,86.6,B,Pass,79.03
249,Student_249,9.7,56,79.4,C,Pass,65.41
679,Student_679,9.7,91,56.8,F,Pass,62.35
35,Student_35,9.7,63,89.6,B,Pass,73.63
718,Student_718,9.7,59,55.5,F,Pass,51.97
367,Student_367,9.7,69,90.5,A,Pass,75.97
999,Student_999,9.6,52,40.2,F,Pass,40.68
489,Student_489,9.6,88,72.0,C,Pass,70.56
413,Student_413,9.6,58,55.6,F,Pass,51.72
412,Student_412,9.6,85,65.1,D,Pass,65.52
541,Student_541,9.6,59,89.6,B,Pass,72.42
325,Student_325,9.6,78,89.5,B,Pass,78.06
242,Student_242,9.6,92,95.1,A,Pass,85.62
844,Student_844,9.6,100,66.6,D,Pass,70.92
2,Student_2,9.6,61,60.0,D,Pass,55.26
53,Student_53,9.5,66,91.1,A,Pass,75.41
918,Student_918,9.5,85,80.6,B,Pass,74.81
790,Student_790,9.5,98,64.6,D,Pass,69.11
576,Student_576,9.5,100,87.3,B,Pass,83.33
365,Student_365,9.5,65,65.8,D,Pass,59.93
135,Student_135,9.5,95,55.6,F,Pass,62.81
359,Student_359,9.5,66,89.9,B,Pass,74.69
509,Student_509,9.5,52,70.3,C,Pass,58.73
870,Student_870,9.5,53,96.6,A,Pass,74.81
752,Student_752,9.5,97,74.6,C,Pass,74.81
34,Student_34,9.5,56,47.7,F,Pass,46.37
446,Student_446,9.5,61,79.1,C,Pass,66.71
241,Student_241,9.5,62,90.8,A,Pass,74.03
807,Student_807,9.4,70,63.3,D,Pass,59.92
513,Student_513,9.4,60,80.1,B,Pass,67.0
113,Student_113,9.4,63,43.7,F,Pass,46.06
797,Student_797,9.4,60,67.2,D,Pass,59.26
396,Student_396,9.4,56,43.9,F,Pass,44.08
179,Student_179,9.4,58,84.2,B,Pass,68.86
721,Student_721,9.4,67,81.2,B,Pass,69.76
246,Student_246,9.4,85,90.5,A,Pass,80.74
685,Student_685,9.4,74,42.2,F,Pass,48.46
716,Student_716,9.4,75,78.2,C,Pass,70.36
257,Student_257,9.4,59,83.6,B,Pass,68.8
997,Student_997,9.3,57,43.8,F,Pass,44.31
578,Student_578,9.3,61,55.6,F,Pass,52.59
56,Student_56,9.3,73,47.0,F,Pass,51.03
808,Student_808,9.3,75,49.6,F,Pass,53.19
826,Student_826,9.3,92,72.5,C,Pass,72.03
800,Student_800,9.3,95,69.1,D,Pass,70.89
814,Student_814,9.3,78,47.0,F,Pass,52.53
616,Student_616,9.3,86,57.8,F,Pass,61.41
183,Student_183,9.3,83,45.1,F,Pass,52.89
44,Student_44,9.2,78,73.2,C,Pass,68.24
749,Student_749,9.2,82,65.3,D,Pass,64.7
274,Student_274,9.2,95,40.6,F,Pass,53.78
243,Student_243,9.2,94,55.1,F,Pass,62.18
151,Student_151,9.2,83,69.3,D,Pass,67.4
938,Student_938,9.2,97,60.9,D,Pass,66.56
837,Student_837,9.2,92,60.5,D,Pass,64.82
105,Student_105,9.2,88,81.7,B,Pass,76.34
454,Student_454,9.2,82,52.1,F,Pass,56.78
954,Student_954,9.2,70,53.9,F,Pass,54.26
507,Student_507,9.2,71,92.9,A,Pass,77.96
786,Student_786,9.2,68,78.7,C,Pass,68.54
54,Student_54,9.1,63,52.5,F,Pass,51.31
948,Student_948,9.1,63,87.7,B,Pass,72.43
406,Student_406,9.1,79,41.3,F,Pass,49.39
